Category,Service,Unit,POC (Local),POC Unit Cost,POC Monthly Cost,MVP (100 users),MVP Unit Cost,MVP Monthly Cost,Production (1000 users),Production Unit Cost,Production Monthly Cost,Notes
Observability,Jaeger (Docker),Trace spans,Unlimited,Free,$0,N/A,N/A,N/A,N/A,N/A,N/A,Self-hosted tracing
Observability,Cloud Trace,Trace spans (M),N/A,N/A,$0,1,~$0.20/M spans,$0.20,8,~$0.20/M spans,$1.60,Managed tracing
CI/CD,Cloud Build,Build minutes,N/A,N/A,$0,500,Free (120 min/day),$0,1000,~$0.003/min (over free tier),$1.50,Automated builds
CI/CD,GitHub,Repository,1,Free,$0,1,Free,$0,1,Free,$0,Version control
Public APIs,RxNorm API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH drug database
Public APIs,PubMed E-utilities,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH medical literature
Public APIs,UMLS API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,NIH medical coding
Public APIs,FDA Drug Label API,API calls,Unlimited,FREE,$0,Unlimited,FREE,$0,Unlimited,FREE,$0,FDA drug information
Infrastructure,OpenTofu,Execution,Unlimited,Free,$0,Unlimited,Free,$0,Unlimited,Free,$0,IaC provisioning
,,,,,,,,,,,,
Total Infrastructure,,,,,**$0**,,,**$356.45**,,,**$2003.70**,
Total LLM Costs (Variable),,,,,**$16.32**,,,**$150.65**,,,**$1171.40**,Token usage varies with activity
**Grand Total**,,,,,**~$16**,,,**~$507**,,,**~$3175**,
,,,,,,,,,,,,
Total (Rounded),,,,,**POC: ~$20-50/mo**,,,**MVP: ~$400-600/mo**,,,**Production: ~$3000-4000/mo**,LLM usage highly variable
Range Explanation,,,,,LLM API calls only,,,Optimized configuration,,,Full scale with HA,Add 20-30% buffer for spikes
Key Insight,,,,,**100% open source = $0 infrastructure**,,,**Managed services add reliability**,,,**Scales with usage**,POC validates before spending
